date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:27	2172/2172	---M--	200	added ('OK')	text/html	date:Mon,%2027%20Jul%202020%2006:58:28%20GMT	https://www.freemon.co.kr/	D:/Semi_Project/freemon/semi/www.freemon.co.kr/index.html	(from )
15:58:28	115/115	---M--	200	added ('OK')	text/plain	date:Mon,%2027%20Jul%202020%2006:58:28%20GMT	https://www.freemon.co.kr/robots.txt		(from )
15:58:28	96402/96402	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jan%202020%2017:56:52%20GMT	https://www.freemon.co.kr/resources/images/new/freemon_naver.jpg	D:/Semi_Project/freemon/semi/www.freemon.co.kr/resources/images/new/freemon_naver.jpg	(from https://www.freemon.co.kr/)
15:58:28	8630/8630	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Jul%202020%2006:58:29%20GMT	https://www.freemon.co.kr/resources/css/reset.css	D:/Semi_Project/freemon/semi/www.freemon.co.kr/resources/css/reset.css	(from https://www.freemon.co.kr/)
15:58:28	10948/10948	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202020%2020:43:44%20GMT	https://www.freemon.co.kr/resources/css/default.css?version=4.3	D:/Semi_Project/freemon/semi/www.freemon.co.kr/resources/css/defaulta9af.css	(from https://www.freemon.co.kr/)
15:58:28	93099/93099	---M--	200	added ('OK')	text/css	date:Mon,%2006%20Jul%202020%2023:39:48%20GMT	https://www.freemon.co.kr/resources/css/new.css?version=4.8	D:/Semi_Project/freemon/semi/www.freemon.co.kr/resources/css/new6d33.css	(from https://www.freemon.co.kr/)
15:58:29	32038/32038	---M--	200	added ('OK')	image/x-icon	date:Thu,%2016%20Jan%202020%2017:56:52%20GMT	https://www.freemon.co.kr/resources/images/new/favicon.ico	D:/Semi_Project/freemon/semi/www.freemon.co.kr/resources/images/new/favicon.ico	(from https://www.freemon.co.kr/)
15:58:29	26160/26160	---MC-	200	added ('OK')	text/html	date:Mon,%2027%20Jul%202020%2006:58:30%20GMT	https://www.freemon.co.kr/home	D:/Semi_Project/freemon/semi/www.freemon.co.kr/home.html	(from https://www.freemon.co.kr/)
15:58:29	502/502	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jan%202020%2017:56:52%20GMT	https://www.freemon.co.kr/resources/css/NotoSans_kr.css	D:/Semi_Project/freemon/semi/www.freemon.co.kr/resources/css/NotoSans_kr.css	(from https://www.freemon.co.kr/resources/css/default.css?version=4.3)
15:58:30	1503/1503	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jan%202020%2017:56:52%20GMT	https://www.freemon.co.kr/resources/images/new/blog.png	D:/Semi_Project/freemon/semi/www.freemon.co.kr/resources/images/new/blog.png	(from https://www.freemon.co.kr/resources/css/default.css?version=4.3)
15:58:30	1389/1389	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jan%202020%2017:56:52%20GMT	https://www.freemon.co.kr/resources/images/new/blog_on.png	D:/Semi_Project/freemon/semi/www.freemon.co.kr/resources/images/new/blog_on.png	(from https://www.freemon.co.kr/resources/css/default.css?version=4.3)
15:58:30	1103/1103	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jan%202020%2017:56:52%20GMT	https://www.freemon.co.kr/images/new/my_arrow.png	D:/Semi_Project/freemon/semi/www.freemon.co.kr/images/new/my_arrow.png	(from https://www.freemon.co.kr/resources/css/default.css?version=4.3)
15:58:30	1036/1036	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jan%202020%2017:56:52%20GMT	https://www.freemon.co.kr/resources/images/new/top_arrow.png	D:/Semi_Project/freemon/semi/www.freemon.co.kr/resources/images/new/top_arrow.png	(from https://www.freemon.co.kr/resources/css/default.css?version=4.3)
15:58:30	2933/2933	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jan%202020%2017:56:52%20GMT	https://www.freemon.co.kr/resources/images/new/logo.png	D:/Semi_Project/freemon/semi/www.freemon.co.kr/resources/images/new/logo.png	(from https://www.freemon.co.kr/resources/css/default.css?version=4.3)
15:58:31	1088/1088	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jan%202020%2017:56:52%20GMT	https://www.freemon.co.kr/resources/images/new/flow_icon.png	D:/Semi_Project/freemon/semi/www.freemon.co.kr/resources/images/new/flow_icon.png	(from https://www.freemon.co.kr/resources/css/default.css?version=4.3)
